# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	1	1524	+							P425_RS05670	1524		old_locus_tag=P425_00001
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	1	1524	+	WP_003400253.1	WP_003400253.1		chromosomal replication initiator protein DnaA			P425_RS05670	1524	507	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	2052	3260	+							P425_RS05675	1209		old_locus_tag=P425_00002
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	2052	3260	+	WP_003400271.1	WP_003400271.1		DNA polymerase III subunit beta			P425_RS05675	1209	402	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	3280	4437	+							P425_RS05680	1158		old_locus_tag=P425_00003
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	3280	4437	+	WP_003912365.1	WP_003912365.1		DNA recombination protein RecF			P425_RS05680	1158	385	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	4434	4997	+							P425_RS05685	564		old_locus_tag=P425_00004
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	4434	4997	+	WP_003899769.1	WP_003899769.1		hypothetical protein			P425_RS05685	564	187	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	5240	7267	+							P425_RS05690	2028		old_locus_tag=P425_00005
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	5240	7267	+	WP_003917863.1	WP_003917863.1		DNA gyrase subunit B			P425_RS05690	2028	675	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	7302	9818	+							P425_RS05695	2517		old_locus_tag=P425_00006
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	7302	9818	+	WP_003917265.1	WP_003917265.1		DNA gyrase subunit A			P425_RS05695	2517	838	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	9914	10828	+							P425_RS05700	915		old_locus_tag=P425_00007
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	9914	10828	+	WP_003400291.1	WP_003400291.1		membrane protein			P425_RS05700	915	304	
gene	tRNA	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	10887	10963	+							P425_RS05705	77		old_locus_tag=P425_00008
tRNA		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	10887	10963	+				tRNA-Ile			P425_RS05705	77		anticodon=GAT
gene	tRNA	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	11112	11187	+							P425_RS05710	76		old_locus_tag=P425_00009
tRNA		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	11112	11187	+				tRNA-Ala			P425_RS05710	76		anticodon=TGC
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	11225	11416	+							P425_RS0104085	192		
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	11225	11416	+	WP_003400294.1	WP_003400294.1		hypothetical protein			P425_RS0104085	192	63	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	11874	12311	-							P425_RS05715	438		old_locus_tag=P425_00010
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	11874	12311	-	WP_003917266.1	WP_003917266.1		cell wall synthesis protein CwsA			P425_RS05715	438	145	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	12468	13016	+							P425_RS05720	549		old_locus_tag=P425_00011
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	12468	13016	+	WP_003400321.1	WP_003400321.1		peptidyl-prolyl cis-trans isomerase			P425_RS05720	549	182	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	13133	13558	-							P425_RS05725	426		old_locus_tag=P425_00012
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	13133	13558	-	WP_003899772.1	WP_003899772.1		membrane protein			P425_RS05725	426	141	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	13714	13995	-							P425_RS05730	282		old_locus_tag=P425_00013
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	13714	13995	-	WP_003400344.1	WP_003400344.1		cell division protein CrgA			P425_RS05730	282	93	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	14134	14877	+							P425_RS05735	744		old_locus_tag=P425_00014
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	14134	14877	+	WP_003917864.1	WP_003917864.1		membrane protein			P425_RS05735	744	247	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	14914	15612	+							P425_RS05740	699		old_locus_tag=P425_00015
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	14914	15612	+	WP_003899773.1	WP_003899773.1		Anthranilate synthase component 2			P425_RS05740	699	232	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	15590	17470	-							P425_RS05745	1881		old_locus_tag=P425_00016
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	15590	17470	-	WP_003400356.1	WP_003400356.1		serine/threonine protein kinase			P425_RS05745	1881	626	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	17467	18762	-							P425_RS05750	1296		old_locus_tag=P425_00017
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	17467	18762	-	WP_003400358.1	WP_003400358.1		serine/threonine protein kinase			P425_RS05750	1296	431	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	18759	20234	-							P425_RS05755	1476		old_locus_tag=P425_00018
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	18759	20234	-	WP_003899775.1	WP_003899775.1		penicillin-binding protein A			P425_RS05755	1476	491	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	20231	21640	-							P425_RS05760	1410		old_locus_tag=P425_00019
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	20231	21640	-	WP_003400364.1	WP_003400364.1		cell division protein RodA			P425_RS05760	1410	469	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	21637	23172	-							P425_RS05765	1536		old_locus_tag=P425_00020
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	21637	23172	-	WP_003912367.1	WP_003912367.1		serine/threonine protein phosphatase			P425_RS05765	1536	511	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	23270	23737	-							P425_RS05770	468		old_locus_tag=P425_00021
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	23270	23737	-	WP_003400373.1	WP_003400373.1		phosphopeptide-binding protein			P425_RS05770	468	155	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	23861	25444	-							P425_RS05775	1584		old_locus_tag=P425_00022
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	23861	25444	-	WP_003912368.1	WP_003912368.1		phosphopeptide-binding protein			P425_RS05775	1584	527	
gene	tRNA	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	25644	25729	+							P425_RS05780	86		old_locus_tag=P425_00023
tRNA		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	25644	25729	+				tRNA-Leu			P425_RS05780	86		anticodon=CAG
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	25913	26881	-							P425_RS05785	969		old_locus_tag=P425_00024
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	25913	26881	-	WP_003899778.1	WP_003899778.1		hypothetical protein			P425_RS05785	969	322	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	27023	27442	-							P425_RS05790	420		old_locus_tag=P425_00025
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	27023	27442	-	WP_003400388.1	WP_003400388.1		WhiB family transcriptional regulator			P425_RS05790	420	139	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	27595	28365	+							P425_RS05795	771		old_locus_tag=P425_00026
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	27595	28365	+	WP_003400391.1	WP_003400391.1		transcriptional regulator			P425_RS05795	771	256	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	28362	29207	+							P425_RS05800	846		old_locus_tag=P425_00027
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	28362	29207	+	WP_003400393.1	WP_003400393.1		NLP/P60 family protein			P425_RS05800	846	281	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	29245	29607	+							P425_RS05805	363		old_locus_tag=P425_00028
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	29245	29607	+	WP_003400395.1	WP_003400395.1		hypothetical protein			P425_RS05805	363	120	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	29722	31068	+							P425_RS05810	1347		old_locus_tag=P425_00029
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	29722	31068	+	WP_003901770.1	WP_003901770.1		hypothetical protein			P425_RS05810	1347	448	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	31189	31506	+							P425_RS05815	318		old_locus_tag=P425_00030
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	31189	31506	+	WP_003400401.1	WP_003400401.1		hypothetical protein			P425_RS05815	318	105	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	31514	31819	+							P425_RS05820	306		old_locus_tag=P425_00031
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	31514	31819	+	WP_003400405.1	WP_003400405.1		hypothetical protein			P425_RS05820	306	101	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	32057	33154	+							P425_RS05825	1098		old_locus_tag=P425_00032
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	32057	33154	+	WP_003400411.1	WP_003400411.1		hypothetical protein			P425_RS05825	1098	365	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	33224	33553	+							P425_RS05830	330		old_locus_tag=P425_00033
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	33224	33553	+	WP_003400413.1	WP_003400413.1		hypothetical protein			P425_RS05830	330	109	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	33582	33794	+							P425_RS05835	213		old_locus_tag=P425_00034
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	33582	33794	+	WP_003900791.1	WP_003900791.1		transposase			P425_RS05835	213	70	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	34295	36610	+							P425_RS05840	2316		old_locus_tag=P425_00035
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	34295	36610	+	WP_003905217.1	WP_003905217.1		8-amino-7-oxononanoate synthase			P425_RS05840	2316	771	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	36607	36870	+							P425_RS05845	264		old_locus_tag=P425_00036
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	36607	36870	+	WP_003400418.1	WP_003400418.1		acyl carrier protein			P425_RS05845	264	87	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	36867	37262	+							P425_RS05850	396		old_locus_tag=P425_00037
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	36867	37262	+	WP_003400421.1	WP_003400421.1		hypothetical protein			P425_RS05850	396	131	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	37259	38947	+							P425_RS05855	1689		old_locus_tag=P425_00038
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	37259	38947	+	WP_003400425.1	WP_003400425.1		fatty acyl-AMP ligase			P425_RS05855	1689	562	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	39056	39829	-							P425_RS05860	774		old_locus_tag=P425_00039
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	39056	39829	-	WP_003400427.1	WP_003400427.1		hypothetical protein			P425_RS05860	774	257	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	39877	41163	-							P425_RS05865	1287		old_locus_tag=P425_00040
CDS		GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	39877	41163	-	WP_003912503.1	WP_003912503.1		MFS transporter			P425_RS05865	1287	428	
gene	protein_coding	GCF_000667805.1	Primary Assembly	unplaced scaffold		NZ_KK339370.1	41307	41912	+							P425_RS05870	606		old_locus_tag=P425_00041
