# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	1	2007	+							Z166_RS08350	2007		partial;pseudo
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	1	2007	+							Z166_RS08350	2007		partial;pseudo
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	2176	2271	+							Z166_RS08355	96		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	2176	2271	+	WP_033723404.1	WP_033723404.1		hypothetical protein			Z166_RS08355	96	31	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	2529	3254	-							Z166_RS0100020	726		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	2529	3254	-	WP_000646759.1	WP_000646759.1		nuclease			Z166_RS0100020	726	241	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	3385	3867	+							Z166_RS0100025	483		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	3385	3867	+	WP_024773156.1	WP_024773156.1		Holliday junction DNA helicase			Z166_RS0100025	483	160	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	3879	6254	-							Z166_RS0100030	2376		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	3879	6254	-	WP_024773157.1	WP_024773157.1		membrane protein			Z166_RS0100030	2376	791	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	6580	8097	+							Z166_RS0100035	1518		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	6580	8097	+	WP_024773158.1	WP_024773158.1		catalase			Z166_RS0100035	1518	505	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	8248	9123	+							Z166_RS0100040	876		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	8248	9123	+	WP_024773159.1	WP_024773159.1		Tat pathway signal protein			Z166_RS0100040	876	291	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	9208	9423	+							Z166_RS0100045	216		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	9208	9423	+	WP_024773160.1	WP_024773160.1		membrane protein			Z166_RS0100045	216	71	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	9481	9810	-							Z166_RS0100050	330		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	9481	9810	-	WP_001153416.1	WP_001153416.1		hypothetical protein			Z166_RS0100050	330	109	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	10163	10897	+							Z166_RS0100055	735		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	10163	10897	+	WP_024773161.1	WP_024773161.1		CDP-diacylglycerol pyrophosphatase			Z166_RS0100055	735	244	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	11105	13261	+					flgE		Z166_RS0100060	2157		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	11105	13261	+	WP_000946422.1	WP_000946422.1		flagellar hook protein FlgE	flgE		Z166_RS0100060	2157	718	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	13320	13673	+					hypA		Z166_RS0100065	354		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	13320	13673	+	WP_024773162.1	WP_024773162.1		hydrogenase/urease nickel incorporation protein HypA	hypA		Z166_RS0100065	354	117	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	13680	14141	+							Z166_RS0100070	462		
CDS		GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	13680	14141	+	WP_024773163.1	WP_024773163.1		hypothetical protein			Z166_RS0100070	462	153	
gene	protein_coding	GCF_000521245.1	Primary Assembly	unplaced scaffold		NZ_JAAA01000001.1	14141	15223	+							Z166_RS0100075	1083		
