# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	483	2027	+							PAO1OR_RS00005	1545		old_locus_tag=PAO1OR0001
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	483	2027	+	WP_003109151.1	WP_003109151.1		chromosomal replication initiator protein DnaA			PAO1OR_RS00005	1545	514	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	2056	3159	+							PAO1OR_RS00010	1104		old_locus_tag=PAO1OR0002
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	2056	3159	+	WP_003097262.1	WP_003097262.1		DNA polymerase III subunit beta			PAO1OR_RS00010	1104	367	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	3169	4278	+							PAO1OR_RS00015	1110		old_locus_tag=PAO1OR0003
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	3169	4278	+	WP_003097265.1	WP_003097265.1		DNA recombination protein RecF			PAO1OR_RS00015	1110	369	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	4275	6695	+					gyrB		PAO1OR_RS00020	2421		old_locus_tag=PAO1OR0004
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	4275	6695	+	WP_003097268.1	WP_003097268.1		DNA gyrase subunit B	gyrB		PAO1OR_RS00020	2421	806	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	7018	7791	-							PAO1OR_RS00025	774		old_locus_tag=PAO1OR0005
CDS		GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	7018	7791	-	WP_003100265.1	WP_003100265.1		lysophosphatidic acid acyltransferase			PAO1OR_RS00025	774	257	
gene	protein_coding	GCF_001291345.2	Primary Assembly	chromosome	I	NZ_LN871187.1	7803	8339	-							PAO1OR_RS00030	537		old_locus_tag=PAO1OR0006
